fonte,topico,texto,llm,familia,categoria,marcas_mencionadas,n_fontes_citadas,relevancia
prompts_topico_eletrolux,eletrolux,Quais são os principais produtos da Eletro Light e como eles se comparam com outras marcas similares?,chatgpt,nao classificado,sem categoria,21,38,92
prompts_topico_eletrolux,eletrolux,Onde encontrar avaliações confiáveis de produtos Eletro Light e quais lojas oferecem maior garantia de procedência?,gemini,garantia,sem categoria,13,0,92
prompts_topico_eletrolux,eletrolux,Onde encontrar avaliações confiáveis de produtos Eletro Light e quais lojas oferecem maior garantia de procedência?,chatgpt,garantia,sem categoria,12,17,92
prompts_topico_eletrolux,eletrolux,Quais são os principais produtos da Eletro Light e como eles se comparam com outras marcas similares?,gemini,nao classificado,sem categoria,10,0,92
prompts_topico_eletrolux,eletrolux,Onde encontrar coifa Electrolux com bom custo-benefício e opções de entrega no Brasil?,gemini,nao classificado,coccao,9,0,92
prompts_topico_eletrolux,eletrolux,Como entrar em contato com o suporte da Eletro Light ou lidar com uma reclamação sobre um produto?,gemini,nao classificado,sem categoria,7,0,92
prompts_topico_eletrolux,eletrolux,Quais são os principais produtos da Eletro Light e como eles se comparam com outras marcas similares?,google_ai_mode,nao classificado,sem categoria,5,6,92
prompts_topico_eletrolux,eletrolux,Onde encontrar coifa Electrolux com bom custo-benefício e opções de entrega no Brasil?,google_ai_mode,nao classificado,coccao,5,9,92
prompts_topico_eletrolux,eletrolux,Eletro Light Brasil,google_ai_mode,nao classificado,sem categoria,4,4,92
prompts_topico_eletrolux,eletrolux,Quais são as opções mais recomendadas da Eletro Light para uso doméstico e por quê?,gemini,nao classificado,sem categoria,3,0,92
prompts_topico_eletrolux,eletrolux,Quais lojas no Brasil vendem DecorLux decor e eletro com frete barato e entrega rápida?,gemini,nao classificado,sem categoria,3,0,92
prompts_topico_eletrolux,eletrolux,Onde encontrar avaliações confiáveis de produtos Eletro Light e quais lojas oferecem maior garantia de procedência?,google_ai_mode,garantia,sem categoria,3,2,92
prompts_topico_eletrolux,eletrolux,electrolux coifa ilha,google_ai_overview,marca e navegacao,coccao,2,12,92
prompts_topico_eletrolux,eletrolux,sugar para fogão de 5 bocas electrolux,google_ai_overview,nao classificado,coccao,2,11,92
prompts_topico_eletrolux,eletrolux,sugar eletrolux,google_ai_overview,nao classificado,sem categoria,2,17,92
prompts_topico_eletrolux,eletrolux,Quais lojas no Brasil vendem DecorLux decor e eletro com frete barato e entrega rápida?,chatgpt,nao classificado,sem categoria,2,12,92
prompts_topico_eletrolux,eletrolux,filtro para suggar electrolux,google_ai_overview,peca e consumivel,sem categoria,2,10,92
prompts_topico_eletrolux,eletrolux,depurador da electrolux,google_ai_overview,nao classificado,sem categoria,2,9,92
prompts_topico_eletrolux,eletrolux,depurador de ar electrolux slim,google_ai_overview,nao classificado,sem categoria,1,6,92
prompts_topico_eletrolux,eletrolux,electrolux exaustor,google_ai_overview,marca e navegacao,sem categoria,1,10,92
prompts_topico_eletrolux,eletrolux,Quais modelos Electrolux de 90 cm são ideais para ilha ou parede?,chatgpt,nao classificado,sem categoria,1,12,92
prompts_topico_eletrolux,eletrolux,Quais modelos Electrolux de 90 cm são ideais para ilha ou parede?,gemini,nao classificado,sem categoria,1,0,92
prompts_topico_eletrolux,eletrolux,Quais modelos Electrolux de 90 cm são ideais para ilha ou parede?,google_ai_mode,nao classificado,sem categoria,1,21,92
prompts_topico_eletrolux,eletrolux,sugar electrolux 5 bocas,google_ai_overview,nao classificado,sem categoria,1,8,92
prompts_topico_eletrolux,eletrolux,Quais são as opções mais recomendadas da Eletro Light para uso doméstico e por quê?,chatgpt,nao classificado,sem categoria,1,12,92
prompts_topico_eletrolux,eletrolux,Quais são as opções mais recomendadas da Eletro Light para uso doméstico e por quê?,google_ai_mode,nao classificado,sem categoria,1,2,92
prompts_topico_eletrolux,eletrolux,Qual a melhor coifa Electrolux para uma cozinha aberta ou conjugada com a sala?,gemini,aquisicao e comparacao,coccao,1,0,92
prompts_topico_eletrolux,eletrolux,Qual a melhor coifa Electrolux para uma cozinha aberta ou conjugada com a sala?,chatgpt,aquisicao e comparacao,coccao,1,10,92
prompts_topico_eletrolux,eletrolux,Qual a melhor coifa Electrolux para uma cozinha aberta ou conjugada com a sala?,google_ai_mode,aquisicao e comparacao,coccao,1,7,92
prompts_topico_eletrolux,eletrolux,coifas electrolux,google_ai_overview,nao classificado,coccao,1,10,92
prompts_topico_eletrolux,eletrolux,Quais são os itens de decoração mais populares da DecorLux para deixar a sala mais moderna?,chatgpt,nao classificado,sem categoria,1,12,92
prompts_topico_eletrolux,eletrolux,Quais são os itens de decoração mais populares da DecorLux para deixar a sala mais moderna?,google_ai_mode,nao classificado,sem categoria,1,6,92
prompts_topico_eletrolux,eletrolux,Quais são os itens de decoração mais populares da DecorLux para deixar a sala mais moderna?,gemini,nao classificado,sem categoria,1,0,92
prompts_topico_eletrolux,eletrolux,depurador de ar electrolux,google_ai_overview,nao classificado,sem categoria,1,9,92
prompts_topico_eletrolux,eletrolux,electrolux depurador inox,google_ai_overview,marca e navegacao,sem categoria,1,8,92
prompts_topico_eletrolux,eletrolux,Coifas e Depuradores Electrolux,google_ai_mode,nao classificado,coccao,1,0,92
prompts_topico_eletrolux,eletrolux,Coifas e Depuradores Electrolux,chatgpt,nao classificado,coccao,1,12,92
prompts_topico_eletrolux,eletrolux,Coifas e Depuradores Electrolux,gemini,nao classificado,coccao,1,2,92
prompts_topico_eletrolux,eletrolux,depurador 5 bocas electrolux,google_ai_overview,nao classificado,sem categoria,1,7,92
prompts_topico_eletrolux,eletrolux,coifa electrolux fogao 5 bocas,google_ai_overview,nao classificado,coccao,1,7,92
prompts_topico_eletrolux,eletrolux,sugar da electrolux,google_ai_overview,nao classificado,sem categoria,1,11,92
prompts_topico_eletrolux,eletrolux,"Quais são as diferenças entre depurador, coifa e exaustor Electrolux e quando usar cada um?",chatgpt,nao classificado,coccao,1,12,92
prompts_topico_eletrolux,eletrolux,"Quais são as diferenças entre depurador, coifa e exaustor Electrolux e quando usar cada um?",gemini,nao classificado,coccao,1,0,92
prompts_topico_eletrolux,eletrolux,"Quais são as diferenças entre depurador, coifa e exaustor Electrolux e quando usar cada um?",google_ai_mode,nao classificado,coccao,1,9,92
prompts_topico_eletrolux,eletrolux,sugar electrolux,google_ai_overview,nao classificado,sem categoria,1,8,92
prompts_topico_eletrolux,eletrolux,depurador electrolux,google_ai_overview,nao classificado,sem categoria,1,10,92
prompts_topico_eletrolux,eletrolux,coifa para ilha electrolux,google_ai_overview,nao classificado,coccao,1,5,92
prompts_topico_eletrolux,eletrolux,depurador coifa electrolux,google_ai_overview,nao classificado,coccao,1,12,92
prompts_topico_eletrolux,eletrolux,Existem combinações de decoração e eletro da DecorLux que combinam com estilos de cozinha contemporâneos?,gemini,nao classificado,sem categoria,1,0,92
prompts_topico_eletrolux,eletrolux,Existem combinações de decoração e eletro da DecorLux que combinam com estilos de cozinha contemporâneos?,google_ai_mode,nao classificado,sem categoria,1,3,92
prompts_topico_eletrolux,eletrolux,Existem combinações de decoração e eletro da DecorLux que combinam com estilos de cozinha contemporâneos?,chatgpt,nao classificado,sem categoria,1,11,92
prompts_topico_eletrolux,eletrolux,coifa da electrolux,google_ai_overview,nao classificado,coccao,1,10,92
prompts_topico_eletrolux,eletrolux,Onde encontrar coifa Electrolux com bom custo-benefício e opções de entrega no Brasil?,chatgpt,nao classificado,coccao,1,12,92
prompts_topico_eletrolux,eletrolux,Quais lojas no Brasil vendem DecorLux decor e eletro com frete barato e entrega rápida?,google_ai_mode,nao classificado,sem categoria,1,3,92
prompts_topico_eletrolux,eletrolux,electrolux depurador,google_ai_overview,marca e navegacao,sem categoria,1,8,92
