name,prompts_count,volume,volume_trend,intents
Refrigerators & Fridges,28,17961,39;44;46;46;54;55;55;78;100;100;100;100,task:2;informational:51;navigational:1;commercial:37;transactional:9
Amazon Freezers,15,178,10;15;19;25;25;26;28;15;24;100;15;16,task:3;informational:30;navigational:25;commercial:21;transactional:21
Chest Freezers & Freezer Appliances,16,188,14;29;34;30;32;38;53;100;71;31;29;29,task:7;informational:45;navigational:4;commercial:28;transactional:16
Commercial Refrigeration & Freezers,15,182,79;90;98;96;92;95;100;95;92;92;97;96,task:3;informational:44;navigational:4;commercial:35;transactional:14
Cooling and Freezing Tech,16,1757,11;15;19;20;17;18;18;12;12;14;12;100,task:2;informational:58;navigational:22;commercial:9;transactional:9
Freezers para gelo,16,426,44;78;100;76;74;56;47;62;62;73;85;89,task:3;informational:51;navigational:1;commercial:34;transactional:11
Freezers e Geladeiras,152,113169,66;67;70;78;88;88;88;99;100;100;100;100,task:5;informational:45;navigational:4;commercial:31;transactional:15
Frozen Food Essentials,16,676,24;11;27;22;22;16;12;41;87;95;91;100,task:2;informational:55;navigational:5;commercial:18;transactional:20
Freezers usados,19,4374,48;66;70;80;99;100;100;81;84;84;84;83,task:5;informational:42;navigational:5;commercial:31;transactional:17
Frozen Fruits & Berries,16,269,55;58;58;65;63;63;66;100;73;73;73;73,task:8;informational:50;navigational:2;commercial:35;transactional:5
Freezers Artico,15,275,37;51;51;48;68;77;100;49;39;41;52;52,task:1;informational:53;navigational:18;commercial:22;transactional:6
Cold Rooms & Refrigeration,18,658,83;85;85;84;100;100;100;100;59;59;59;63,task:8;informational:76;navigational:2;commercial:12;transactional:2
Freezers Inox,16,538,49;71;72;100;96;68;76;71;66;65;65;65,task:3;informational:45;navigational:4;commercial:37;transactional:11
Freezers Esmaltec,19,1321,45;59;60;63;70;76;70;85;92;100;72;72,task:8;informational:40;navigational:20;commercial:22;transactional:10
Freeze Drying & Lyophilization,20,758,30;32;31;41;97;100;100;45;37;37;37;37,task:2;informational:63;navigational:3;commercial:12;transactional:20
Sub Zero Refrigerators,16,95,32;34;34;34;34;100;86;32;32;48;35;37,task:3;informational:46;navigational:23;commercial:20;transactional:8
Ice Bags and Coolers,18,1086,51;54;54;54;35;37;41;100;93;93;95;95,task:8;informational:53;navigational:10;commercial:25;transactional:4
LG Refrigerators,15,354,7;16;19;17;23;25;45;9;9;100;27;32,task:7;informational:30;navigational:23;commercial:18;transactional:22
Freezers Philco,22,1876,65;97;100;95;89;94;97;83;93;98;97;91,task:7;informational:26;navigational:27;commercial:21;transactional:19
Freezers Portáteis para Carro,20,2603,85;100;96;48;58;61;62;60;61;61;61;60,task:8;informational:43;navigational:4;commercial:35;transactional:10
Freezers Metalfrio,30,4061,63;86;94;93;87;89;90;91;95;100;96;95,task:2;informational:45;navigational:15;commercial:25;transactional:13
Freezers de bebidas Skol/Ambev,17,817,60;77;55;79;78;79;78;84;71;89;97;100,task:5;informational:33;navigational:1;commercial:40;transactional:21
Freezers Industriais,18,939,87;100;61;58;53;56;56;60;60;60;56;55,task:2;informational:53;navigational:4;commercial:34;transactional:7
Locação de Freezers,21,4683,44;50;35;43;56;58;58;59;100;100;100;100,task:8;informational:44;navigational:4;commercial:30;transactional:14
Freezers com Ponto Frio,15,1015,13;30;29;42;36;45;44;63;37;42;35;100,task:1;informational:19;navigational:48;commercial:12;transactional:20
Freezers com gavetas,15,839,45;67;68;65;64;66;66;68;90;100;68;68,task:3;informational:53;navigational:4;commercial:31;transactional:9
Freezers Gelopar com tampas de vidro,15,210,59;71;75;67;60;62;62;100;60;60;60;60,task:3;informational:25;navigational:14;commercial:40;transactional:18
Freezers de 100 litros,15,1258,47;67;73;69;68;73;74;80;74;75;91;100,task:7;informational:43;navigational:6;commercial:34;transactional:10
Wine Coolers & Refrigerators,17,1716,70;83;83;80;96;100;100;91;95;94;100;100,task:2;informational:47;navigational:4;commercial:31;transactional:16
"Freezer: tradução, plural e diferenças com congelador",35,7650,64;69;68;68;99;100;100;62;70;70;70;70,task:2;informational:79;navigational:2;commercial:9;transactional:8
Ice Makers and Ice Machines,20,1990,63;72;73;51;90;92;92;100;82;82;78;78,task:5;informational:46;navigational:4;commercial:31;transactional:14
Refrigeração: Freezers Refrimate,16,112,30;63;45;40;53;51;32;100;78;32;32;32,task:3;informational:64;navigational:10;commercial:16;transactional:7
Arctic Liquid Freezers and Water Coolers,16,832,28;48;47;48;50;51;53;64;64;64;100;88,task:3;informational:36;navigational:16;commercial:37;transactional:8
Freezers para carnes,20,1212,45;47;49;55;73;59;59;65;90;91;99;100,task:5;informational:49;navigational:2;commercial:36;transactional:8
Freezers para Sorvete,17,2158,87;100;53;59;57;61;65;67;63;63;63;62,task:8;informational:55;navigational:1;commercial:32;transactional:4
freezers Midea,26,11699,72;79;82;97;42;42;43;44;100;100;100;99,task:3;informational:42;navigational:16;commercial:17;transactional:22
Freezers Electrolux pt,38,15490,92;97;100;46;44;46;46;46;97;97;98;98,task:2;informational:19;navigational:31;commercial:15;transactional:33
Mini Fridges & Compact Refrigerators,15,587,51;86;100;84;77;81;81;75;74;83;81;88,task:1;informational:56;navigational:5;commercial:21;transactional:17
Vertical Freezers 220V/127V,15,699,51;74;75;73;63;77;67;61;73;78;93;100,task:3;informational:51;navigational:4;commercial:38;transactional:4
Freezers para Açaí,17,289,37;49;48;70;76;100;81;40;40;36;35;82,task:3;informational:57;navigational:1;commercial:28;transactional:11
Organizadores de Freezer,16,566,52;85;100;84;55;56;58;60;57;57;73;73,task:2;informational:62;navigational:2;commercial:24;transactional:10
freezers 311 litros,16,950,9;21;29;16;16;22;40;34;33;100;92;90,task:3;informational:56;navigational:4;commercial:28;transactional:9
Walk-In Coolers & Freezers,18,1272,27;30;32;52;65;68;68;100;76;76;72;72,task:2;informational:65;navigational:10;commercial:18;transactional:5
Geladeiras e Freezers,24,13701,18;23;24;44;80;81;81;90;100;100;100;100,task:6;informational:69;navigational:4;commercial:16;transactional:5
Freezers com chave 419 litros,16,155,41;89;100;42;38;39;54;94;81;86;72;80,task:13;informational:31;navigational:1;commercial:44;transactional:11
Freezers nas Lojas Americanas,15,327,17;60;82;36;36;63;70;59;80;100;38;48,task:3;informational:27;navigational:34;commercial:11;transactional:25
Ultracongeladores e Freezers,24,2491,15;21;21;45;98;99;100;42;39;39;39;39,task:3;informational:52;navigational:4;commercial:28;transactional:13
Super Coolers,16,364,54;78;82;74;100;84;82;89;91;85;84;86,task:10;informational:39;navigational:20;commercial:18;transactional:13
