prompt,llm,brief_response,mentioned_brands_count,sources_count,relevance_score
promocao forno microondas,google_ai_overview,Os preços de micro-ondas em promoção variam entre R$ 378 e R$ 650 para modelos de 20 a 32 litros . Ofertas ativas incluem o Micro-ondas Consul 32L por cerca de R$ 378 (em...,11,14,93
microondas pequeños,google_ai_overview,"Um mini micro-ondas é um aparelho compacto, geralmente com capacidade entre 18 e 23 litros, ideal para quem mora sozinho, tem pouco espaço ou busca economia, sendo os mod...",9,0,93
microondas preco,google_ai_overview,"Os preços de micro-ondas variam de R$ 400 a R$ 1.000 , dependendo da capacidade e recursos. Aparelhos compactos de 20L custam entre R$ 400 e R$ 600 , enquanto modelos mai...",8,0,93
micro ondas 20 litros preto,google_ai_overview,"Um micro-ondas de 20 litros preto é uma opção compacta ideal para cozinhas menores, disponível em marcas como Midea e Britânia. Geralmente possuem funções como ""Minuto Fá...",8,7,93
modelos de micro ondas,google_ai_overview,"Os micro-ondas são classificados principalmente pela capacidade (litros), tipo de instalação (de bancada ou de embutir), e recursos extras (como grill, função vapor e tec...",8,12,93
microondas preço,google_ai_overview,"O preço de um micro-ondas no Brasil varia de R$ 440 a R$ 900 para modelos comuns de 20 a 32 litros . Aparelhos compactos de entrada custam cerca de R$ 450, enquanto opçõe...",8,2,93
marca de microondas,google_ai_overview,"As principais marcas de micro-ondas no Brasil incluem Electrolux , Brastemp , Midea , Philco , Panasonic , Consul , Mondial e Britânia . Elas se destacam pela variedade d...",8,7,93
qual é a melhor marca de microondas,google_ai_overview,"As melhores marcas de micro-ondas no mercado brasileiro são Electrolux , Brastemp , Panasonic , LG , Midea e Philco . Elas se destacam por oferecer alta durabilidade, efi...",7,17,93
valores de microondas,google_ai_overview,"O preço de um micro-ondas varia de R$ 350 a R$ 1.500 , dependendo da capacidade (de 20 a 38 litros), acabamento (branco, inox ou espelhado) e funções extras (grill ou emb...",7,8,93
microondas na promocao,google_ai_overview,"Encontrar micro-ondas em promoção é fácil ao pesquisar em grandes lojas online que reúnem ofertas diárias, como o Magazine Luiza , as Casas Bahia e o Carrefour . Os preço...",7,7,93
microondas marcas,google_ai_overview,"As principais marcas de micro-ondas no mercado brasileiro incluem Electrolux, Brastemp, Midea, Panasonic, Philco, Mondial e Consul . Elas oferecem opções que variam de mo...",7,15,93
promoção forno microondas,google_ai_overview,"Aproveite os descontos atuais em micro-ondas de 20 a 32 litros, com preços a partir de R$ 499 . Modelos compactos ou espelhados estão com excelentes condições. Compare as...",7,6,93
microondas 25 litros em promoção,google_ai_overview,Encontre o micro-ondas de 25 litros ideal com ótimos preços no Mercado Livre e ofertas no Buscapé . Modelos populares como o Philco PMO28S espelhado estão disponíveis nas...,7,8,93
preços de microondas na casas bahia,google_ai_overview,"Os preços de micro-ondas nas Casas Bahia variam geralmente entre R$ 450 e R$ 1.300 , dependendo da capacidade em litros, da potência e da marca escolhida. Modelos compact...",7,7,93
onde comprar microondas mais barato,google_ai_overview,"Para comprar um micro-ondas mais barato, use comparadores de preço como o Buscapé para monitorar ofertas em grandes redes de varejo online como Mercado Livre , Amazon , M...",7,5,93
ofertas de microondas,google_ai_overview,"Encontre micro-ondas em promoção com ótimos preços! Modelos compactos de 20L a 25L variam de R$ 417 a R$ 550 , com marcas como Philco, Mondial e Electrolux. As ofertas of...",7,11,93
Vale a pena comprar micro-ondas com a função forno integrado? Quais marcas são confiáveis no Brasil?,google_ai_mode,Comprar um micro-ondas com função forno integrado (geralmente chamado de micro-ondas com Grill ou Convecção) vale a pena se você tem pouco espaço na cozinha e deseja grat...,6,0,93
Vale a pena comprar micro-ondas com a função forno integrado? Quais marcas são confiáveis no Brasil?,gemini,"A resposta sobre valer a pena depende do seu espaço e da sua rotina na cozinha, mas de modo geral, sim, vale a pena , principalmente se você tem pouco espaço ou busca pra...",6,0,93
preço forno de microondas,google_ai_overview,"O preço de um micro-ondas no Brasil varia geralmente entre R$ 440 e R$ 1.100 , dependendo da capacidade, da marca e das funções extras. Aparelhos compactos de entrada cus...",6,4,93
marcas de microondas,google_ai_overview,"As marcas de micro-ondas mais populares e bem avaliadas no Brasil incluem Electrolux, Midea, Brastemp, Panasonic, Mondial e Philco . Elas se destacam pela variedade de ta...",6,7,93
preço forno microondas,google_ai_overview,"O preço de um micro-ondas no Brasil varia de R$ 420 a R$ 1.000 , dependendo da capacidade e da marca. Aparelhos compactos de 20 a 21 litros custam entre R$ 420 e R$ 550. ...",6,6,93
microondas promoção 20 litros,google_ai_overview,"Micro-ondas de 20 litros estão com preços promocionais oscilando entre R$ 407 e R$ 600 . Modelos compactos e bem avaliados, como o Philco PMO23BB (a partir de R$ 407), o ...",6,7,93
promocao black friday microondas,google_ai_overview,"As ofertas de micro-ondas em promoção costumam aparecer com descontos expressivos em grandes redes varejistas como o Magazine Luiza , Casas Bahia e na Loja Electrolux , v...",6,8,93
melhores marcas de micro ondas,google_ai_overview,"As melhores marcas de micro-ondas no mercado brasileiro incluem Electrolux , Brastemp , Panasonic , LG , Midea e Philco . Cada uma se destaca por diferenciais como facili...",6,11,93
preço de microondas no carrefour,google_ai_overview,"No Carrefour , os preços de micro-ondas variam de cerca de R$ 469 para modelos básicos de 20 litros até mais de R$ 950 para versões maiores e espelhadas , dependendo da c...",6,5,93
microondas na black friday,google_ai_overview,"Aproveitar a Black Friday é a melhor oportunidade para garantir um micro-ondas com descontos que chegam a R$ 300,00 . As marcas mais recomendadas e que lideram o mercado ...",6,13,93
microondas 400 reais,google_ai_overview,"Atualmente, novos modelos de micro-ondas custam em média a partir de R$ 450 a R$ 500 , sendo difícil encontrar aparelhos novos por exatos R$ 400 . Para encontrar preços n...",6,7,93
forno microondas em promoção,google_ai_overview,Encontre modelos como o Philco 20L PMO23EB por cerca de R$ 407 (no Buscapé ) e o Electrolux 34L MEO44 com até 54% de desconto em sites como as Casas Bahia . Promoções em ...,6,4,93
Micro-ondas e Fornos de Micro-ondas,google_ai_mode,"Os fornos de micro-ondas são eletrodomésticos essenciais na cozinha moderna, projetados para aquecer, descongelar e cozinhar alimentos de forma rápida e prática através d...",6,0,93
micro-ondas preço,google_ai_overview,"O preço de um micro-ondas no Brasil varia geralmente entre R$ 440 e R$ 900 , dependendo da capacidade (de 20 a 34 litros), da marca (como Electrolux, Philco, Mondial e Br...",6,12,93
foto de microondas,google_ai_overview,Você pode encontrar fotos de micro-ondas em bancos de imagens gratuitos como o Pexels ou em acervos maiores como o Shutterstock e o Getty Images . Onde ver imagens e mode...,6,4,93
melhores marcas microondas,google_ai_overview,"As melhores marcas de micro-ondas no mercado brasileiro incluem Electrolux , Brastemp , Panasonic , Midea e LG . Elas se destacam pela durabilidade, eficiência de aquecim...",5,8,93
Quais são as melhores opções de micro-ondas com preço acessível para cozinhas menores?,gemini,"Se você procura um micro-ondas compacto para cozinhas pequenas (apartamentos, estúdios ou bancadas reduzidas) e com preço acessível, os modelos de 20L a 23L são a escolha...",5,0,93
microondas 17 l,google_ai_overview,"Micro-ondas de 17 litros são fornos ultracompactos ou comerciais de alta potência, ideais para espaços reduzidos ou uso profissional em lanchonetes . Os modelos residenci...",5,9,93
promoção micro ondas 30 litros,google_ai_overview,Encontrar um micro-ondas de 30 litros em promoção exige comparar preços em grandes varejistas. Os modelos mais buscados com bom custo-benefício incluem linhas da LG (com ...,5,9,93
forno de microondas pequeno,google_ai_overview,"Micro-ondas compactos (de 20 a 23 litros) são ideais para cozinhas pequenas, apartamentos compactos e para esquentar refeições rápidas . Os destaques atuais no mercado br...",5,11,93
microondas mais em conta,google_ai_overview,O micro-ondas mais barato do mercado atualmente custa a partir de R$ 375 a R$ 450 . Os modelos com melhor custo-benefício nessa faixa são compactos (20 a 21 litros) e con...,5,4,93
ver preço de microondas,google_ai_overview,"Os preços de micro-ondas variam de acordo com a capacidade e a marca, indo de R$ 450 a R$ 1.500 . Modelos básicos de 20 a 25 litros custam entre R$ 450 e R$ 700 , enquant...",5,5,93
valor de micro-ondas,google_ai_overview,"Os preços de micro-ondas variam de R$ 469 a R$ 1.999 , dependendo da capacidade, marca e recursos. Modelos compactos de entrada custam em torno de R$ 469 a R$ 650, enquan...",5,5,93
promocao de microondas,google_ai_overview,"As promoções atuais de micro-ondas no mercado brasileiro trazem opções populares como o Midea 20L Prata Espelhado por cerca de R$ 455 , o Mondial 34L Espelhado por volta ...",5,4,93
microondas em promoção,google_ai_overview,Micro-ondas em promoção estão disponíveis em grandes lojas com preços entre R$ 424 e R$ 600 . Os destaques atuais incluem o Brastemp 20 Litros Inox Espelhado por cerca de...,5,5,93
melhores marcas para microondas,google_ai_overview,"As melhores marcas de micro-ondas no mercado atual são Electrolux , Brastemp , Midea , LG e Panasonic . Elas se destacam pela durabilidade, eficiência de aquecimento e te...",5,11,93
microondas electrolux 38 litros,google_ai_overview,A Electrolux não fabrica micro-ondas no exato tamanho de 38 litros . As capacidades mais próximas e robustas da marca são o Efficient 36L e o MEX55 de 45 litros . Se você...,5,5,93
microondas em promoção black friday,google_ai_overview,"Encontrar micro-ondas em promoção durante a Black Friday exige monitorar preços com antecedência. Marcas como Electrolux, Midea, Mondial e Brastemp oferecem bons desconto...",5,7,93
qual o preço do microondas,google_ai_overview,"O preço de um micro-ondas no Brasil varia em média de R$ 440 a R$ 900 , dependendo da capacidade (de 20 a 34 litros), da marca (como Electrolux, Philco, Panasonic, Consul...",5,6,93
microondas qual o melhor,google_ai_overview,"O melhor micro-ondas depende do seu espaço e orçamento, mas os destaques atuais no mercado brasileiro incluem o Brastemp 32L (BMG45AR) como melhor escolha geral, o Electr...",5,4,93
preços microondas 20 litros,google_ai_overview,"O preço de um micro-ondas de 20 litros varia geralmente entre R$ 400 e R$ 750 , dependendo da marca, do design (como porta espelhada) e das funções extras. Modelos de ent...",5,9,93
valores de micro ondas,google_ai_overview,"O preço de um micro-ondas no Brasil varia em média de R$ 400 a R$ 900 , dependendo da capacidade e das funções. Aparelhos compactos de 20 a 23 litros custam entre R$ 400 ...",5,9,93
forno de micro ondas 30 litros,google_ai_overview,"Micro-ondas de 30 litros são ideais para famílias grandes ou quem utiliza travessas maiores . Com medidas médias de 30 cm de altura, 50 cm de largura e 40 cm de profundid...",5,5,93
microondas 21 litros menor preço,google_ai_overview,"O forno micro-ondas de 21 litros com menor preço atualmente no mercado é o Mondial MO-01-21 , com preços que variam entre R$ 436 e R$ 500 à vista . Se você busca recursos...",5,8,93
