prompt,llm,brief_response,mentioned_brands_count,sources_count,relevance_score
Como comparar preços entre a Midea e outras marcas populares de eletrodomésticos disponíveis no Brasil?,gemini,"Comparar os preços de eletrodomésticos da Midea com gigantes tradicionais do mercado brasileiro (como Electrolux, Brastemp, Consul, LG e Samsung) exige uma estratégia int...",13,0,92
Como comparar preços entre a Midea e outras marcas populares de eletrodomésticos disponíveis no Brasil?,google_ai_mode,"Comparar preços entre a Midea e marcas tradicionais no Brasil (como Brastemp, Electrolux, Consul, LG) envolve focar no custo-benefício, pois a Midea é reconhecida por tra...",13,8,92
Quais lojas online brasileiras oferecem produtos Midea e quais promoções atuais costumam ter?,gemini,"No Brasil, os produtos da Midea (conhecida por aparelhos de ar-condicionado, lava e seca, geladeiras, micro-ondas e fritadeiras) são amplamente distribuídos. Você pode en...",11,0,92
Onde posso encontrar promoções de geladeiras Midea e quais lojas costumam ter os melhores preços no Brasil?,gemini,"As geladeiras da Midea costumam se destacar pelo custo-benefício e tecnologias inverter. Para encontrar as melhores promoções e acompanhar reduções de preço no Brasil, os...",11,0,92
Quais lojas online brasileiras oferecem produtos Midea e quais promoções atuais costumam ter?,google_ai_mode,"A Midea Store é a loja online oficial da marca no Brasil, oferecendo todo o portfólio de produtos, incluindo ar-condicionado, geladeiras, lavadoras e eletroportáteis. Alé...",10,6,92
"Quais acessórios, garantias e peças de reposição vêm com um climatizador de ar Midea e onde comprá-los?",gemini,Os climatizadores de ar da Midea acompanham um conjunto básico de acessórios para pronto uso e contam com suporte e garantia oficial no Brasil. 1. Acessórios que Acompanh...,9,0,92
Quais lojas online brasileiras oferecem produtos Midea e quais promoções atuais costumam ter?,chatgpt,Sim. Fiz uma busca atualizada para agosto de 2026 . A Midea é vendida tanto pela loja oficial quanto por grandes marketplaces e varejistas brasileiros. Onde comprar Midea...,8,108,92
Quais modelos da Midea funcionam melhor com sistemas de smarthome populares?,chatgpt,"Se a sua prioridade é integração com sistemas de casa inteligente, os melhores modelos da Midea são os que já vêm com Wi-Fi integrado e suporte ao aplicativo MSmartHome ,...",6,12,92
Quais modelos da Midea funcionam melhor com sistemas de smarthome populares?,gemini,"A Midea oferece um ecossistema próprio gerenciado pelo aplicativo MSmartHome (anteriormente chamado de Midea Air ou SmartHome ), que possui integração nativa com os princ...",6,0,92
Como posso reconhecer o logotipo oficial da Midea e evitar fraudes?,gemini,A constante criação de sites clonados e ofertas falsas por golpistas exige atenção dobrada antes de realizar qualquer compra ou fornecer dados. Para identificar a marca a...,6,1,92
Como comparar preços entre a Midea e outras marcas populares de eletrodomésticos disponíveis no Brasil?,chatgpt,"Sim. No Brasil, a melhor forma é comparar modelos equivalentes , e não apenas marcas. A Midea costuma competir bem em recursos por real , enquanto marcas como Electrolux,...",6,22,92
Eletrodomésticos e Midea no Brasil,google_ai_mode,"A Midea é uma das maiores fabricantes de eletrodomésticos e equipamentos de climatização do mundo e possui uma presença sólida e em expansão no Brasil, focando em inovaçã...",6,9,92
app ar condicionado midea,google_ai_overview,"O aplicativo oficial para controlar os ares-condicionados conectados da Midea (com Wi-Fi) é o SmartHome (antigo MSmartHome ) , disponível gratuitamente para celulares And...",6,9,92
Onde posso encontrar promoções de geladeiras Midea e quais lojas costumam ter os melhores preços no Brasil?,google_ai_mode,"As geladeiras Midea, conhecidas pela tecnologia Inverter e eficiência energética, costumam ter promoções frequentes em grandes redes varejistas e no site oficial da marca...",6,11,92
Onde posso encontrar promoções de geladeiras Midea e quais lojas costumam ter os melhores preços no Brasil?,chatgpt,"Se o objetivo é encontrar promoções e o menor preço possível , vale monitorar tanto a loja oficial da Midea quanto comparadores de preço. Hoje, as melhores oportunidades ...",6,19,92
smarthome,google_ai_overview,Uma Smart Home (ou casa inteligente) é um ambiente onde dispositivos conectados à internet podem ser controlados à distância via smartphone ou comandos de voz . Essa tecn...,5,8,92
Casa Inteligente Midea,google_ai_mode,"O ecossistema de Casa Inteligente da Midea gira em torno do aplicativo unificado SmartHome (anteriormente chamado de MSmartHome ), permitindo conectar, monitorar e automa...",5,8,92
Como configuro o app da Midea para controlar o ar condicionado pela casa inteligente?,gemini,"Para configurar o seu ar-condicionado Midea e controlá-lo pelo aplicativo e pela casa inteligente, você precisará utilizar o aplicativo oficial SmartHome (anteriormente c...",5,0,92
Eletrodomésticos e Midea no Brasil,chatgpt,"Se você está procurando informações sobre eletrodomésticos Midea no Brasil , a marca tem hoje um portfólio bastante amplo: geladeiras, freezers, lava e seca, lavadoras, l...",5,18,92
Quais são as melhores práticas para conectar dispositivos Midea ao Wi-Fi e a assistentes de voz?,gemini,Conectar dispositivos Midea (como aparelhos de ar-condicionado) ao Wi-Fi e integrá-los a assistentes de voz exige seguir algumas etapas específicas para evitar falhas com...,5,0,92
mideia,google_ai_overview,"A Midea é uma das maiores fabricantes globais de eletrodomésticos e líder em sistemas de ar-condicionado . No Brasil, opera através da joint venture Midea Carrier, que ta...",4,11,92
