prompt,llm,brief_response,mentioned_brands_count,sources_count,relevance_score
Quais são as melhores marcas e dicas para encontrar ofertas confiáveis em lojas online brasileiras de ar condicionado e climatização?,gemini,Melhores Marcas de Ar-Condicionado As principais marcas do mercado brasileiro se destacam pela eficiência energética (com forte presença da tecnologia Inverter e selo Pro...,16,0,94
Quais são as melhores marcas e dicas para encontrar ofertas confiáveis em lojas online brasileiras de ar condicionado e climatização?,chatgpt,"Se você está procurando um ar-condicionado no Brasil, vale considerar três fatores ao mesmo tempo: qualidade da marca , assistência técnica e confiabilidade da loja . Mar...",15,21,94
Quais são as melhores marcas e dicas para encontrar ofertas confiáveis em lojas online brasileiras de ar condicionado e climatização?,google_ai_mode,"Melhores Marcas de Ar-Condicionado Daikin: Referência global em durabilidade, silêncio e eficiência tecnológica (destaque para a linha EcoSwing). LG: Excelente conectivid...",12,26,94
Onde encontrar peças de reposição e assistência para poloar/ar condicionado próximo de você?,gemini,"Para encontrar peças de reposição e serviços de assistência técnica para sistemas de ar-condicionado (ou especificamente na rede Poloar ), as seguintes opções estão dispo...",11,0,94
Quais são as marcas de climatização mais confiáveis para comprar no Brasil?,google_ai_mode,"No mercado brasileiro de climatização, a confiabilidade de uma marca é medida pela eficiência energética (tecnologia inverter), durabilidade dos compressores, facilidade ...",10,18,94
Poloar Ar Condicionado,gemini,A Poloar (atualmente muito conhecida como Poloar Ar Roll ) é uma das maiores distribuidoras e redes especialistas em equipamentos de ar-condicionado e sistemas de climati...,8,0,94
Ar Condicionado,chatgpt,"Olá! Como posso ajudar em relação a ar-condicionado ? Posso, por exemplo: Escolher a capacidade ideal (9.000, 12.000, 18.000 BTUs etc.). Explicar a diferença entre Split ...",8,12,94
Quais são as marcas de climatização mais confiáveis para comprar no Brasil?,chatgpt,"Se o objetivo é comprar um ar-condicionado confiável no Brasil, eu priorizaria marcas que combinam boa durabilidade, ampla rede de assistência técnica, eficiência energét...",8,14,94
Quais são as melhores opções de ar-condicionado para a minha casa com eficiência e custo-benefício?,google_ai_mode,Escolher um ar-condicionado com boa eficiência e custo-benefício envolve focar na tecnologia Inverter e em modelos com selo Procel A . Com base em pesquisas recentes de 2...,7,10,94
Onde encontrar peças de reposição e assistência para poloar/ar condicionado próximo de você?,google_ai_mode,"Para encontrar peças de reposição e assistência técnica para Poloar/ar-condicionado, os melhores locais próximos de você incluem lojas físicas de refrigeração e centros a...",7,0,94
Vale a pena comprar ar condicionado pelo preço no ponto frio/lojas parecidas e comparar instalação/serviço?,google_ai_mode,"Comprar ar-condicionado em grandes varejistas como Ponto Frio, Magazine Luiza, Casas Bahia ou Mercado Livre (frequentemente com preços menores, especialmente fora de temp...",7,10,94
