prompt,llm,brief_response,mentioned_brands_count,sources_count,relevance_score
Quais são os principais produtos da Eletro Light e como eles se comparam com outras marcas similares?,chatgpt,"A primeira coisa importante é uma correção de enquadramento: a Eletro Light não parece ser uma fabricante única de produtos , e sim uma rede de lojas de materiais elétric...",21,38,92
Onde encontrar avaliações confiáveis de produtos Eletro Light e quais lojas oferecem maior garantia de procedência?,gemini,"Para encontrar avaliações confiáveis de produtos e garantir que você está comprando com a máxima procedência (evitando falsificações ou dores de cabeça com pós-venda), o ...",13,0,92
Onde encontrar avaliações confiáveis de produtos Eletro Light e quais lojas oferecem maior garantia de procedência?,chatgpt,"Se você está se referindo à Eletro Light, rede de materiais elétricos , encontrei sinais razoáveis de procedência, mas é importante separar avaliação da loja de avaliação...",12,17,92
Quais são os principais produtos da Eletro Light e como eles se comparam com outras marcas similares?,gemini,A Eletro Light (frequentemente associada a distribuidoras e marcas focadas em material elétrico e iluminação LED no Brasil) atua principalmente no segmento de iluminação ...,10,0,92
Onde encontrar coifa Electrolux com bom custo-benefício e opções de entrega no Brasil?,gemini,"Para encontrar uma coifa Electrolux com bom custo-benefício e opções de entrega segura em qualquer região do Brasil, vale a pena monitorar e comparar os principais canais...",9,0,92
Como entrar em contato com o suporte da Eletro Light ou lidar com uma reclamação sobre um produto?,gemini,"Para entrar em contato com a Eletro Light (ou Eletrolight) e resolver problemas ou registrar uma reclamação sobre um produto no Brasil, você tem algumas opções principais...",7,0,92
Quais são os principais produtos da Eletro Light e como eles se comparam com outras marcas similares?,google_ai_mode,"A Eletro Light, com atuação consolidada em Franca/SP e região, é reconhecida por oferecer uma vasta gama de produtos e materiais elétricos de alta qualidade, atendendo ta...",5,6,92
Onde encontrar coifa Electrolux com bom custo-benefício e opções de entrega no Brasil?,google_ai_mode,"Encontrar coifas Electrolux com bom custo-benefício no Brasil é viável através de grandes varejistas online e na própria loja oficial, que frequentemente oferecem frete g...",5,9,92
Eletro Light Brasil,google_ai_mode,"A Eletro Light no Brasil pode se referir a diferentes empresas com atuações distintas no setor elétrico. Com base nas pesquisas, os principais resultados são: Eletro Ligh...",4,4,92
Quais são as opções mais recomendadas da Eletro Light para uso doméstico e por quê?,gemini,A Eletro Light (conhecida tanto por suas lojas físicas focadas em iluminação e materiais elétricos de alto padrão quanto pelo e-commerce) oferece soluções que unem eficiê...,3,0,92
Quais lojas no Brasil vendem DecorLux decor e eletro com frete barato e entrega rápida?,gemini,"Se você está procurando produtos da Decorlux (marca bastante conhecida por materiais elétricos, iluminação e automação) com foco em frete barato e entrega rápida no Brasi...",3,0,92
Onde encontrar avaliações confiáveis de produtos Eletro Light e quais lojas oferecem maior garantia de procedência?,google_ai_mode,Encontrar avaliações confiáveis e garantir a procedência de produtos elétricos é fundamental para segurança e qualidade. Para produtos da Eletro Light (que oferece soluçõ...,3,2,92
electrolux coifa ilha,google_ai_overview,As coifas de ilha da Electrolux custam entre R$ 2.000 e R$ 5.000 . Os principais modelos de 90 cm indicados para fogões de 5 bocas incluem a Experience CE9IF com Hob2Hood...,2,12,92
sugar para fogão de 5 bocas electrolux,google_ai_overview,"A Electrolux não fabrica a marca ""Suggar"" (que é uma marca independente de purificadores/depuradores de ar). Provavelmente, você está buscando um depurador de ar Suggar o...",2,11,92
sugar eletrolux,google_ai_overview,"Suggar e Electrolux são duas das marcas mais populares de eletrodomésticos no Brasil, muito conhecidas por seus depuradores de ar, coifas, fritadeiras e purificadores . E...",2,17,92
Quais lojas no Brasil vendem DecorLux decor e eletro com frete barato e entrega rápida?,chatgpt,"Se você está procurando produtos da Decorlux (materiais elétricos, interruptores, extensões, ferramentas e acessórios), estas são as opções mais interessantes no Brasil p...",2,12,92
