prompt,provedor,familia,categoria,eh_categoria,marcas_no_prompt,marcas_na_resposta,n_marcas_declarado,n_fontes,relevancia,tam_resposta,seeds,seed_branded
"Quais são os modelos Brastemp mais populares no Brasil em lojas como Casas Bahia e Magazine Luiza, e onde encontrar os melhores preços?",google_ai_mode,preco e compra,sem categoria,0,brastemp,brastemp,8,0,91,173,brastemp,1
Onde posso encontrar o preço do Brastemp B Blend?,chatgpt,preco e compra,sem categoria,0,brastemp,brastemp,7,12,91,173,brastemp,1
Onde posso encontrar o preço do Brastemp B Blend?,google_ai_mode,preco e compra,sem categoria,0,brastemp,brastemp,7,0,91,173,brastemp,1
"Quais são os modelos Brastemp mais populares no Brasil em lojas como Casas Bahia e Magazine Luiza, e onde encontrar os melhores preços?",chatgpt,preco e compra,sem categoria,0,brastemp,brastemp,7,11,91,173,brastemp,1
"Quais são os modelos Brastemp mais populares no Brasil em lojas como Casas Bahia e Magazine Luiza, e onde encontrar os melhores preços?",gemini,preco e compra,sem categoria,0,brastemp,brastemp,7,0,91,173,brastemp,1
outlet geladeira brastemp,google_ai_overview,marca e loja,geladeira,1,brastemp,brastemp|consul,6,8,91,173,brastemp,1
maquina que faz refri,google_ai_overview,produto e categoria,sem categoria,0,,brastemp,6,15,91,173,brastemp,1
filtro com água com gás,google_ai_overview,peca e filtro,sem categoria,0,,,4,9,91,173,brastemp,1
brastemp b blend,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp|whirlpool,4,9,91,173,brastemp,1
blend brastemp preço,google_ai_overview,preco e compra,sem categoria,0,brastemp,,4,8,91,173,brastemp,1
purificador agua com gas,google_ai_overview,produto e categoria,purificador,1,,brastemp,4,6,91,173,brastemp,1
Quais geladeiras Brastemp com 3 portas são mais indicadas para famílias grandes?,chatgpt,especificacao de produto,geladeira,1,brastemp,brastemp,4,12,91,173,brastemp,1
filtro que faz agua com gas,google_ai_overview,peca e filtro,sem categoria,0,,,4,10,91,173,brastemp,1
b blend preço,google_ai_overview,preco e compra,sem categoria,0,,,4,8,91,173,brastemp,1
Geladeiras Brastemp,google_ai_mode,produto e categoria,geladeira,1,brastemp,brastemp,4,0,91,173,brastemp,1
promoção geladeira frost free brastemp,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,3,5,91,173,brastemp,1
geladeira barata brastemp,google_ai_overview,preco e compra,geladeira,1,brastemp,brastemp,3,3,91,173,brastemp,1
brastemp frost free duplex 375 litros,google_ai_overview,especificacao de produto,sem categoria,0,brastemp,brastemp,3,8,91,173,brastemp,1
brastemp b blend onde comprar,google_ai_overview,preco e compra,sem categoria,0,brastemp,brastemp,3,7,91,173,brastemp,1
geladeira brastemp valor,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,3,4,91,173,brastemp,1
