prompt,llm,brief_response,mentioned_brands_count,sources_count,relevance_score
"Quais são os modelos Brastemp mais populares no Brasil em lojas como Casas Bahia e Magazine Luiza, e onde encontrar os melhores preços?",google_ai_mode,"Os modelos Brastemp mais populares no Brasil em 2026, especialmente nas Casas Bahia e Magazine Luiza (Magalu), focam em tecnologia Frost Free, alta capacidade e designs m...",8,0,91
Onde posso encontrar o preço do Brastemp B Blend?,chatgpt,Você pode encontrar o preço da Brastemp B.Blend em alguns lugares oficiais e comparadores de preço no Brasil. Aqui estão os principais: 🛒 1. Site oficial da Brastemp O lu...,7,12,91
Onde posso encontrar o preço do Brastemp B Blend?,google_ai_mode,"Você pode encontrar os preços da máquina de bebidas Brastemp B.blend em diversos locais, com opções novas e usadas. Os valores variam dependendo do modelo (com ou sem pur...",7,0,91
"Quais são os modelos Brastemp mais populares no Brasil em lojas como Casas Bahia e Magazine Luiza, e onde encontrar os melhores preços?",chatgpt,"Os modelos da Brastemp mais populares no Brasil (e que aparecem com muita frequência em lojas como Casas Bahia e Magazine Luiza ) costumam variar por categoria, mas há al...",7,11,91
"Quais são os modelos Brastemp mais populares no Brasil em lojas como Casas Bahia e Magazine Luiza, e onde encontrar os melhores preços?",gemini,"Os eletrodomésticos da Brastemp estão entre os mais procurados no varejo brasileiro, com grande presença em grandes varejistas como Magazine Luiza e Casas Bahia . Modelos...",7,0,91
outlet geladeira brastemp,google_ai_overview,"Para encontrar uma geladeira Brastemp de outlet com desconto, você pode acessar o Outlet: Brastemp, Consul e KitchenAid - Compra Certa ou conferir os estoques de grandes ...",6,8,91
maquina que faz refri,google_ai_overview,As principais máquinas para fazer refrigerante em casa são a B.blend da Brastemp (que usa cápsulas com xarope e gás) e as da SodaStream (que gaseificam a água e utilizam ...,6,15,91
filtro com água com gás,google_ai_overview,"Para ter água com gás em casa usando aparelhos conectados à rede ou sistemas próprios, as melhores opções são os purificadores com função gaseificadora integrada (como os...",4,9,91
brastemp b blend,google_ai_overview,"A B.blend é a primeira plataforma de bebidas em cápsulas ""all-in-one"" do mundo, criada em uma parceria entre a Whirlpool (dona da Brastemp) e a Ambev . Ela funciona como ...",4,9,91
blend brastemp preço,google_ai_overview,"O preço da máquina de bebidas B.blend un.plug nova na loja oficial da marca é de R$ 4.999 , podendo ser encontrada em plataformas de revenda ou usadas (como OLX ou Mercad...",4,8,91
purificador agua com gas,google_ai_overview,"No Brasil, o principal equipamento que purifica a água e entrega água com gás diretamente na torneira é a plataforma all-in-one B.blend (parceria da Brastemp), que funcio...",4,6,91
Quais geladeiras Brastemp com 3 portas são mais indicadas para famílias grandes?,chatgpt,"Para famílias grandes, as geladeiras Brastemp de 3 portas (geralmente no formato French Door / Multidoor ) mais indicadas são as que combinam alta capacidade (acima de 50...",4,12,91
filtro que faz agua com gas,google_ai_overview,"Não existem filtros de água tradicionais que filtram e gaseificam a água simultaneamente direto da tubulação. Para ter água purificada e com gás em casa, você deve usar u...",4,10,91
b blend preço,google_ai_overview,"O preço da máquina de bebidas B.blend un.plug nova na loja oficial da marca é de R$ 4.999 , podendo ser encontrada em plataformas de revenda ou usadas (como OLX ou Mercad...",4,8,91
Geladeiras Brastemp,google_ai_mode,"As geladeiras Brastemp são reconhecidas pela durabilidade, design moderno (como a linha B=Design) e tecnologias como Inverse e Frost Free . A marca oferece modelos duplex...",4,0,91
promoção geladeira frost free brastemp,google_ai_overview,"Aproveite as ofertas atuais em modelos como a Brastemp 385L (BRM46) , saindo a partir de R$ 2.649,00 Buscapé ou R$ 2.699,90 no PIX Casas Bahia . Se busca mais espaço, a B...",3,5,91
geladeira barata brastemp,google_ai_overview,"Para encontrar os melhores preços em geladeiras Brastemp, os modelos mais acessíveis são a Frost Free BRM44 (375 litros) , encontrada a partir de R$ 2.231 , e a BRM46 (38...",3,3,91
brastemp frost free duplex 375 litros,google_ai_overview,A geladeira Brastemp Frost Free Duplex de 375 litros (modelos como BRM44/BRM45 ) é ideal para famílias pequenas ou médias. Conta com tecnologia Frost Free (não forma gelo...,3,8,91
