prompt,llm,brief_response,mentioned_brands_count,sources_count,relevance_score
Quais marcas de geladeira/choppeira são mais confiáveis no Brasil e onde comprar?,gemini,"Tanto para geladeiras quanto para chopeiras, o mercado brasileiro oferece desde opções tradicionais e de alta durabilidade até modelos importados e tecnológicos. Abaixo e...",26,0,93
Quais marcas de geladeira/choppeira são mais confiáveis no Brasil e onde comprar?,google_ai_mode,"No Brasil, a confiabilidade de geladeiras e choppeiras é pautada por marcas tradicionais com forte rede de assistência técnica. Abaixo, listamos as mais confiáveis basead...",18,8,93
Quais são os melhores fabricantes de geladeiras comerciais para supermercados?,chatgpt,"Para supermercados, a melhor fabricante depende do porte da loja e do tipo de equipamento (expositores verticais, ilhas de congelados, balcões refrigerados ou sistemas re...",17,1,93
Quais marcas de geladeira/choppeira são mais confiáveis no Brasil e onde comprar?,chatgpt,"Se o critério principal é confiabilidade (durabilidade + assistência técnica + facilidade de encontrar peças) , eu faria a seguinte classificação para o mercado brasileir...",14,22,93
Geladeiras de Luxo,google_ai_mode,"Geladeiras de luxo no mercado atual, especialmente para 2026, destacam-se pela tecnologia avançada, design sofisticado, alta capacidade de armazenamento e acabamentos pre...",13,0,93
Quais marcas oferecem as melhores opções de geladeira para área gourmet no Brasil?,gemini,"Montar uma área gourmet pede um planejamento visual diferente da cozinha convencional. No Brasil, a escolha da ""geladeira"" ideal depende muito do uso que você vai dar ao ...",12,0,93
Geladeiras para Chopp,gemini,"Quando falamos em ""geladeira para chopp"", estamos entrando no maravilhoso mundo das chopeiras residenciais e dos Kegerators (uma mistura de keg - barril - com refrigerato...",12,0,93
Como escolher uma geladeira de luxo que combine com meu estilo de decoração e orçamento?,gemini,"Escolher uma geladeira de luxo que alinhe design, funcionalidade e orçamento exige olhar além do básico. Esse eletrodoméstico costuma ser o protagonista da cozinha, então...",10,0,93
Quais marcas de geladeiras de luxo vocês recomendam para uma cozinha moderna?,gemini,"Para uma cozinha moderna e de alto padrão no Brasil, o mercado de luxo oferece marcas que vão muito além do convencional, destacando-se por tecnologias de preservação de ...",10,0,93
Quais são as melhores geladeiras com boa eficiência energética e custo-benefício?,chatgpt,"Se o seu objetivo é economizar energia sem pagar caro , vale priorizar modelos com tecnologia Inverter , Frost Free e classificação máxima de eficiência energética . Esse...",10,12,93
Quais são as melhores lojas brasileiras para comprar peças de geladeira e quais garantias oferecem?,gemini,"Comprar peças para geladeira exige cuidado para garantir que você está adquirindo componentes compatíveis e, de preferência, originais. No Brasil, existem tanto grandes r...",9,0,93
Quais são as melhores lojas brasileiras para comprar peças de geladeira e quais garantias oferecem?,google_ai_mode,"No Brasil, diversas lojas especializadas e plataformas de marketplace oferecem uma ampla gama de peças para geladeiras, tanto originais quanto compatíveis. Com base nas i...",9,0,93
Refrigeração e Eletrodomésticos,chatgpt,"Refrigeração e eletrodomésticos abrangem equipamentos usados para conservar alimentos, climatizar ambientes e facilitar tarefas domésticas e comerciais. No Brasil, é um s...",9,14,93
Geladeiras e Eletrodomésticos Brasil,google_ai_mode,"O mercado de geladeiras e eletrodomésticos no Brasil em 2026 destaca marcas tradicionais e modelos tecnológicos, com foco em eficiência energética, tecnologia Frost Free ...",9,19,93
Quais são os melhores fabricantes de geladeiras comerciais para supermercados?,google_ai_mode,"Os melhores fabricantes de geladeiras comerciais para supermercados no Brasil e no mundo, focando em alta capacidade, durabilidade e refrigeração eficiente para exposição...",8,3,93
