prompt,llm,brief_response,mentioned_brands_count,sources_count,relevance_score
maquina de lavar roupa 9,google_ai_overview,"Uma máquina de lavar roupa de 9kg é ideal para famílias pequenas a médias, oferecendo um bom equilíbrio entre capacidade para peças do dia a dia e edredons, e tamanho com...",11,13,93
maquina de lavar frete gratis,google_ai_overview,"Para encontrar uma máquina de lavar com frete grátis , você pode conferir ofertas em grandes plataformas de e-commerce e varejistas nacionais que frequentemente oferecem ...",10,6,93
Máquinas de Lavar Roupa,google_ai_mode,"As máquinas de lavar roupa evoluíram para oferecer maior eficiência energética, economia de água e tecnologias avançadas de limpeza. Em 2026, os modelos mais procurados c...",10,0,93
preços de máquina de lavar,google_ai_overview,Os preços de máquina de lavar no Brasil variam de acordo com o tipo e a capacidade. Tanquinhos e modelos semi-automáticos custam entre R$ 440 e R$ 700. Lavadoras automáti...,9,10,93
Quais marcas brasileiras são mais confiáveis para lavadoras de 8 kg a 15 kg?,chatgpt,"Sim. Para lavadoras automáticas de 8 a 15 kg no Brasil , eu priorizaria marcas com boa rede de assistência, disponibilidade de peças e histórico consistente. Não existe u...",9,14,93
maquina de lavar e secar promocao,google_ai_overview,"Encontre ofertas de lava e seca com preços variados na Dufrio , Loja Electrolux e Magazine Luiza , destacando marcas como Philco, Electrolux e LG. Modelos e Preços Philco...",8,9,93
preço de máquina,google_ai_overview,"O preço varia bastante dependendo do tipo de máquina. Para máquinas de lavar roupa , os modelos de 12kg a 15kg (como Consul e Brastemp) custam entre R$ 1.700 e R$ 2.500. ...",8,9,93
maquina de 8 kilos,google_ai_overview,As lavadoras de 8 kg são compactas e ideais para quem mora sozinho ou para casais . Elas comportam cerca de 35 peças de roupa leve e otimizam bastante o espaço. Compare o...,8,11,93
maquina de lavar menor preço 10kg,google_ai_overview,"As máquinas de lavar de 10kg com os menores preços no Brasil são os modelos semiautomáticos (tanquinhos) , que costumam variar entre R$ 329 e R$ 500 . Modelos automáticos...",8,6,93
máquina de lavar melhor preço,google_ai_overview,"Encontrar a melhor máquina de lavar com o menor preço depende da sua necessidade de capacidade. Para modelos automáticos de entrada (10kg-12kg), os preços partem de cerca...",8,0,93
qual é a máquina,google_ai_overview,"Ouvir Pausar A pergunta ""qual máquina"" é muito genérica. Para responder adequadamente, precisamos de mais contexto. ""Máquina"" pode se referir a diversos tipos de equipame...",8,17,93
marcas de máquina de lavar roupa,google_ai_overview,"As principais marcas de máquina de lavar no Brasil incluem Brastemp , Electrolux e Consul , líderes em durabilidade e custo-benefício. Outras opções muito buscadas são Pa...",8,8,93
marcas de máquinas de lavar roupa,google_ai_overview,"As melhores marcas de máquina de lavar no mercado brasileiro são Electrolux , Brastemp , LG e Samsung , conhecidas pela durabilidade e tecnologias avançadas. Para opções ...",8,13,93
promoção lavadoras de roupas,google_ai_overview,"Aproveite as ofertas atuais em lavadoras de roupas de marcas líderes. Modelos semiautomáticos (tanquinhos) partem de R$ 439, enquanto lavadoras automáticas de 10kg a 18kg...",8,3,93
marca de máquina de lavar roupa,google_ai_overview,"As principais marcas de máquina de lavar no mercado brasileiro incluem Electrolux e Brastemp (líderes em tecnologia e durabilidade), Consul (ótimo custo-benefício), e gig...",8,11,93
promocao maquina lavar roupa,google_ai_overview,As promoções de máquinas de lavar roupa no mercado brasileiro variam conforme a capacidade e o tipo de equipamento. Tanquinhos e modelos semi-automáticos (como Britânia e...,8,8,93
promoção maquina lavar roupa,google_ai_overview,As promoções de máquinas de lavar roupa no mercado brasileiro variam conforme a capacidade e o tipo de equipamento. Tanquinhos e modelos semi-automáticos (como Britânia e...,8,8,93
promoção lavadoras,google_ai_overview,As promoções de máquinas de lavar roupa no mercado brasileiro variam conforme a capacidade e o tipo de equipamento. Tanquinhos e modelos semi-automáticos (como Britânia e...,8,8,93
maquina de lavar roupa 15kg 220v,google_ai_overview,"As melhores opções de máquinas de lavar 15kg em 220V custam entre R$ 1.800 e R$ 2.500 . Destaques incluem a Brastemp BWF15AB , que possui sensor inteligente e ciclo tira ...",7,3,93
preço de lavadora,google_ai_overview,"O preço de uma máquina de lavar roupas varia de acordo com a marca e a capacidade. Modelos de 11 kg a 12 kg custam entre R$ 1.600 e R$ 3.000, enquanto lavadoras de alta p...",7,6,93
preço lavadora,google_ai_overview,"O preço de uma lavadora varia conforme a tecnologia e capacidade. Máquinas de lavar roupas custam entre R$ 1.599 e R$ 2.800 , dependendo da marca (como Brastemp, Electrol...",7,6,93
qual o valor de um tanquinho de lavar roupa,google_ai_overview,"O preço dos tanquinhos varia de R$ 400 a R$ 800 , dependendo da capacidade (de 10 kg a 20 kg) e da marca . Em lojas online, modelos como o Newmaq 10 kg custam em torno de...",7,7,93
maquina de lavar para apartamento,google_ai_overview,Escolher a máquina ideal para o seu apartamento depende do espaço disponível e do seu orçamento. Modelos Lava e Seca com abertura frontal são os mais indicados . Eles eco...,7,1,93
preço de maquina de lavar 12kg,google_ai_overview,"O preço de uma máquina de lavar de 12kg no Brasil varia bastante, geralmente entre R$ 1.500 a R$ 3.000, dependendo da marca e recursos, mas pode ir de modelos mais básico...",7,9,93
ofertas de máquinas de lavar,google_ai_overview,As máquinas de lavar roupa em promoção variam de R$ 440 a R$ 2.500 no mercado brasileiro . Os tanquinhos e modelos semiautomáticos (como Britânia e Suggar de 10kg a 20kg)...,7,7,93
promocao de maquina de lavar,google_ai_overview,"Encontre ótimas promoções de máquinas de lavar em grandes redes como as Casas Bahia , Americanas e na loja oficial da Electrolux . Os preços variam de R$ 440 para modelos...",7,6,93
maquina de lavar preços,google_ai_overview,"O preço de uma máquina de lavar varia de R$ 1.500 a mais de R$ 4.500 , dependendo da capacidade, marca e tecnologia (como abertura frontal ou sistema inverter). Modelos b...",7,6,93
maquina de lavar abertura frontal,google_ai_overview,"Máquinas de lavar frontais são excelentes para otimizar espaço, economizar água/energia e preservar as roupas, já que lavam por tombamento . Marcas como Electrolux, Brast...",7,8,93
maquinas de lavar em oferta,google_ai_overview,"Encontre ótimas promoções de máquinas de lavar em grandes lojas como Casas Bahia , Carrefour e Electrolux . Os preços variam bastante conforme o tipo, desde modelos semia...",7,6,93
