prompt,llm,brief_response,mentioned_brands_count,sources_count,relevance_score
Quais receitas fáceis e saudáveis posso fazer na air fryer no dia a dia?,chatgpt,A air fryer ajuda bastante no dia a dia porque dá para preparar refeições com pouco óleo e sem muita louça. Algumas ideias saudáveis e fáceis: 1. Frango com legumes (almo...,0,12,94
Quais receitas fáceis e saudáveis posso fazer na air fryer no dia a dia?,google_ai_mode,"A Air Fryer é excelente para refeições rápidas e saudáveis, permitindo grelhar, assar e assar legumes com pouquíssimo azeite. Batata-doce crocante (180°C, 18 min), grão-d...",0,0,94
Quais receitas fáceis e saudáveis posso fazer na air fryer no dia a dia?,gemini,"A air fryer é uma verdadeira salvadora na correria do dia a dia. Para te ajudar a comer bem sem passar horas na cozinha, separei 4 receitas fáceis, rápidas e super saudáv...",0,0,94
Você poderia me explicar qual a melhor forma de usar um air fryer com forno para receitas de assados?,chatgpt,Sim. A principal diferença entre uma air fryer com forno (air fryer oven) e uma air fryer de cesto é que você ganha espaço e pode usar diferentes níveis de bandejas para ...,4,14,93
Você recomendaria um air fryer Walita/Philips ou um forno elétrico tradicional da Philips para receitas brasileiras?,gemini,"Para escolher entre uma Airfryer Philips Walita e um forno elétrico tradicional , vale a pena analisar como você costuma cozinhar o seu dia a dia e quais pratos mais gost...",2,0,93
Você recomendaria um air fryer Walita/Philips ou um forno elétrico tradicional da Philips para receitas brasileiras?,chatgpt,"Se a dúvida é entre uma Air Fryer Philips Walita e um forno elétrico tradicional da Philips para preparar receitas brasileiras, eu escolheria de acordo com o seu estilo d...",2,12,93
Você recomendaria um air fryer Walita/Philips ou um forno elétrico tradicional da Philips para receitas brasileiras?,google_ai_mode,"Para a imensa maioria das receitas brasileiras do dia a dia, a Airfryer Philips Walita (especialmente os modelos maiores ou os híbridos tipo Oven, como a Fritadeira Airfr...",1,8,93
Você poderia me explicar qual a melhor forma de usar um air fryer com forno para receitas de assados?,google_ai_mode,"Usar uma Air Fryer com função forno (Air Fryer Oven) para assados é excelente, pois ela une a rapidez da convecção com a versatilidade de um forno tradicional, resultando...",1,17,93
Quais receitas ficam melhores em air fryer quando já tenho forno elétrico?,chatgpt,"Se você já tem forno elétrico , a air fryer não vira “obrigatória”, mas ela muda bastante o tipo de coisa que fica melhor e mais prático de fazer. A diferença principal é...",0,12,93
Quais receitas ficam melhores em air fryer quando já tenho forno elétrico?,google_ai_mode,"Mesmo com um forno elétrico, a air fryer é superior para receitas que exigem extrema crocância, rapidez e suculência interna, graças à circulação intensa de ar quente e a...",0,3,93
Quais receitas ficam melhores em air fryer quando já tenho forno elétrico?,gemini,"O forno elétrico é incrível para assados grandes e receitas que precisam de calor brando e uniforme, mas a Air Fryer se destaca pela rapidez, crocância instantânea e prat...",0,0,93
Você poderia me explicar qual a melhor forma de usar um air fryer com forno para receitas de assados?,gemini,"A Air Fryer Oven (air fryer com forno) é uma excelente aliada para assados, pois junta a rapidez do ar quente circulante com o espaço e a visibilidade de um forno tradici...",0,0,93
Airfryer ligada ou desligada durante o preparo: qual é a prática mais comum em receitas online?,chatgpt,"Se a sua dúvida é se a air fryer deve ficar ligada ou desligada enquanto a receita está sendo preparada , a prática mais comum nas receitas online é deixá-la ligada duran...",1,36,92
Quais receitas rápidas você recomendaria para uma air fryer Midea?,google_ai_mode,"Para a sua air fryer Midea, que é conhecida pela sua eficiência, aqui estão algumas receitas rápidas e saborosas: Pão de Queijo Recheado (10-12 min): Misture polvilho aze...",1,9,92
Quais receitas rápidas você recomendaria para uma air fryer Midea?,gemini,"A Air Fryer Midea é excelente para preparar refeições rápidas, crocantes e saborosas no dia a dia. Aqui estão quatro sugestões práticas e muito fáceis de fazer, divididas...",1,0,92
Quais receitas rápidas você recomendaria para uma air fryer Midea?,chatgpt,"Se você tem uma Air Fryer Midea, estas receitas são rápidas, práticas e costumam funcionar muito bem na maioria dos modelos. Lembre-se apenas de ajustar alguns minutos pa...",1,14,92
Que receitas rápidas ficam perfeitas no forno Brastemp com air fryer de 12L?,chatgpt,"Se você tem um forno Brastemp com função Air Fryer de 12 L , dá para aproveitar a capacidade maior e preparar refeições completas ou vários acompanhamentos ao mesmo tempo...",1,12,92
Que receitas rápidas ficam perfeitas no forno Brastemp com air fryer de 12L?,gemini,"Aqui estão algumas receitas rápidas e deliciosas que aproveitam ao máximo a versatilidade de um forno com função air fryer de 12L, como os modelos da Brastemp! 1. Pão de ...",1,0,92
Airfryer ligada ou desligada durante o preparo: qual é a prática mais comum em receitas online?,gemini,"Quando as receitas online dizem para pincelar óleo, virar o alimento ou chacoalhar o cesto no meio do preparo, a prática mais comum é manter a airfryer ligada na tomada e...",0,0,92
Airfryer ligada ou desligada durante o preparo: qual é a prática mais comum em receitas online?,google_ai_mode,A prática mais comum e recomendada em receitas online é manter a Airfryer ligada durante todo o processo de preparo para garantir a cocção uniforme e a crocância. No enta...,0,6,92
Que receitas rápidas ficam perfeitas no forno Brastemp com air fryer de 12L?,google_ai_mode,"A grande vantagem de um espaço oven/forno com tecnologia de air fryer (com boa capacidade) é aproveitar o fluxo de ar quente intenso para assar por igual, dourar e ganhar...",0,2,92
Você pode sugerir os melhores air fryers compatíveis com Alexa para cozinhar diferentes receitas?,chatgpt,"Sim. Para Alexa + variedade de receitas , eu priorizaria modelos realmente conectados por Wi-Fi, e não apenas air fryers digitais. Minhas melhores escolhas 1. Philips Wal...",4,11,91
Você pode sugerir os melhores air fryers compatíveis com Alexa para cozinhar diferentes receitas?,google_ai_mode,"Sim, existem excelentes fritadeiras a ar (air fryers) compatíveis com Alexa, oferecendo controle de voz, monitoramento remoto e receitas guiadas via aplicativo. Os modelo...",4,0,91
Quais são as receitas mais fáceis para começar a fazer na air fryer sem óleo ou com pouca gordura?,google_ai_mode,"Para começar a usar a air fryer com foco em praticidade e saúde (pouco ou nenhum óleo), as melhores receitas são aquelas que não exigem preparos complexos ou muitas etapa...",3,18,91
Você pode sugerir os melhores air fryers compatíveis com Alexa para cozinhar diferentes receitas?,gemini,"As air fryers conectadas a assistentes virtuais oferecem praticidade para monitorar preparos, receber avisos de término e iniciar receitas direto do aplicativo ou por com...",3,0,91
Você pode me passar uma receita de rabanada na airfryer usando pão de forma e leite condensado?,chatgpt,"Claro! Essa versão fica bem prática, cremosa por dentro e douradinha por fora. Rabanada na Airfryer com pão de forma e leite condensado Ingredientes (6 unidades): 6 fatia...",2,12,91
receitas para fazer na airfryer,google_ai_overview,"A fritadeira sem óleo é ideal para refeições rápidas e saudáveis. Você pode preparar desde lanches crocantes como Pastel na Air Fryer em 15 minutos, até pratos principais...",2,5,91
receita para fazer na air fryer,google_ai_overview,"A air fryer é perfeita para refeições rápidas e sem bagunça. Você pode preparar desde lanches, como enroladinhos de presunto e queijo (7 min a 180ºC), e pão de alho , até...",2,5,91
receitas feita na airfryer,google_ai_overview,"A Airfryer é ótima para fazer pratos rápidos, petiscos crocantes e carnes suculentas sem usar muito óleo . Para encontrar um guia completo com centenas de opções dividida...",2,8,91
Quais receitas fáceis posso fazer na fritadeira a ar Seara para iniciantes?,gemini,"A fritadeira a ar (air fryer) é perfeita para quem está começando na cozinha porque é rápida, prática e quase não faz sujeira. Como você mencionou a Seara, muitos dos pro...",2,0,91
receitas no air fryer,google_ai_overview,"As melhores receitas na airfryer incluem opções rápidas e práticas como batata frita, peito de frango e bolo de caneca . Para ideias variadas e passo a passos completos, ...",1,3,91
receitas com air fryer,google_ai_overview,"A airfryer é perfeita para preparar refeições rápidas e saudáveis sem usar óleo. Para pratos salgados, asse filés de tilápia por 10 a 15 minutos a 200°C ou batatas rústic...",1,8,91
Pode indicar receitas de empada com tapioca ou massas mais saudáveis para usar na air fryer?,chatgpt,"Se você quer uma empada mais leve para fazer na air fryer, há várias opções de massa que funcionam muito bem e ficam saborosas. 1. Empadinha de tapioca e frango (sem fari...",1,13,91
Como adaptar receitas tradicionais para a air fryer mantendo crocância e textura desejadas?,google_ai_mode,"Adaptar receitas tradicionais para a air fryer exige ajustes de tempo, temperatura e técnica para garantir a crocância sem ressecar. O segredo é tratar a air fryer como u...",1,11,91
Como fazer receitas rápidas no forno Fischer com air fryer sem comprometer o sabor?,chatgpt,"Sim — dá para fazer receitas rápidas no forno Fischer com função Air Fryer sem perder sabor , desde que você aproveite bem a circulação de ar quente e não exagere na temp...",1,23,91
Como fazer receitas rápidas no forno Fischer com air fryer sem comprometer o sabor?,google_ai_mode,"Para fazer receitas rápidas no forno Fischer com Air Fryer mantendo o sabor, pré-aqueça a 200°C, utilize a função Air Convection para distribuição uniforme de calor e não...",1,0,91
Como fazer receitas rápidas no forno Fischer com air fryer sem comprometer o sabor?,gemini,O segredo para usar a função Air Fryer (ou Air Convection ) dos fornos Fischer (como o Turbo 2.4 New ou o Infinity) sem perder o sabor e a suculência está em controlar a ...,1,0,91
Quais receitas fáceis posso fazer na fritadeira a ar Seara para iniciantes?,google_ai_mode,"Para iniciantes, a fritadeira a ar (air fryer) Seara é ideal para preparar alimentos de forma rápida e crocante, sendo perfeita para lanches e refeições práticas . Aqui e...",1,0,91
Quais receitas fáceis posso fazer na fritadeira a ar Seara para iniciantes?,chatgpt,"Claro! Se você está começando com uma fritadeira a ar (air fryer) Seara , vale apostar em receitas com poucos ingredientes e que não exigem muita técnica. A própria Seara...",1,24,91
Quais são as receitas mais fáceis para começar a fazer na air fryer sem óleo ou com pouca gordura?,chatgpt,"Se você está começando agora, eu iria de receitas com poucos ingredientes, pouco preparo e que funcionam bem sem óleo . A air fryer é especialmente prática para legumes, ...",0,24,91
Quais são as receitas mais fáceis para começar a fazer na air fryer sem óleo ou com pouca gordura?,gemini,"A air fryer é perfeita para quem está começando na cozinha, especialmente para preparar pratos crocantes e deliciosos sem precisar de quase nada de óleo. Aqui estão quatr...",0,0,91
Você pode me passar uma receita de rabanada na airfryer usando pão de forma e leite condensado?,gemini,"Com certeza! Fazer rabanada na airfryer com pão de forma e leite condensado é super prático, fica crocante por fora e bem macia por dentro. Olha só essa receita jogo rápi...",0,0,91
Você pode me passar uma receita de rabanada na airfryer usando pão de forma e leite condensado?,google_ai_mode,"Com certeza! Fazer rabanada na airfryer com pão de forma é super prático, rápido e fica com um sabor incrível com leite condensado . Aqui está uma receita simples: Ingred...",0,0,91
receitas faceis para fazer na airfryer,google_ai_overview,A airfryer é perfeita para refeições rápidas. O segredo é sempre pré-aquecer o equipamento por 5 minutos antes de iniciar o preparo para garantir um cozimento uniforme e ...,0,21,91
Air Fryer: Receitas e Usos,gemini,"A Air Fryer é um dos eletrodomésticos mais práticos na cozinha! Além de economizar tempo e energia, ela deixa os alimentos crocantes usando pouquíssimo ou nenhum óleo. Aq...",0,0,91
Air Fryer: Receitas e Usos,google_ai_mode,"A Air Fryer (fritadeira sem óleo) tornou-se um eletrodoméstico versátil e indispensável, capaz de assar, grelhar e fritar com pouca ou nenhuma gordura, circulando ar quen...",0,21,91
